SAMPN,PERNO,PLANO,ACTNO,APURP,Act_Cat,LAT,LON,MODE,PNAME,place_type
2536089,3,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.9746144,-121.7790994,,PRIVATE RESIDENCE,Other
2536089,3,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.9746144,-121.7790994,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2538018,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.126677,-121.557508,Auto / Van / Truck Driver,AMERICAN SELF STORAGE MARYSVILLE,Other
2544224,1,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.7874108,-116.9807061,Auto / Van / Truck Passenger,ESTATE SALE,Other
2544718,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.9743849,-118.2695486,Auto / Van / Truck Driver,LAUNDRY LAND,Other
2558669,2,6,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.271695,-118.564063,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2558669,3,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.271695,-118.564063,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2558669,4,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.271695,-118.564063,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2558669,5,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.271695,-118.564063,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2580274,1,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.786363,-116.962378,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2581655,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.758435,-122.228039,Auto / Van / Truck Passenger,PRIVATE RESIDENCE,Other
2581655,1,8,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.758435,-122.228039,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2605006,3,4,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,43.8188369,-111.786701,Walk,BYUI CLASSES,Other
2620823,1,2,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,37.3889767,-122.0850506,Bike,EAGLE PARK POOL,Other
2627174,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.100415,-120.978993,,2ND HOME,Other
2627174,1,3,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.100415,-120.978993,Auto / Van / Truck Driver,2ND HOME,Other
2627174,1,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.100415,-120.978993,Auto / Van / Truck Driver,2ND HOME,Other
2627174,1,7,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,39.100415,-120.978993,Auto / Van / Truck Driver,2ND HOME,Other
2634694,1,12,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.0534096,-118.5444335,Auto / Van / Truck Driver,PRIVATE RESIDENCE,Other
2688642,3,3,2,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.77487,-118.416585,Auto / Van / Truck Driver,CONDO,Other
2697037,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.890334,-118.196535,,PRIVATE RESIDENCE,Other
2740415,1,1,3,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.5016,-117.148399,,EMBASSY SUITES TEMECULA VALLEY WINE COUNTRY,Other
2748027,3,5,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.6523879,-117.8350469,Walk,AMBROSE APARTMENT HOMES,Other
2779570,2,2,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.1893624,-118.5142205,Walk,PRIVATE RESIDENCE,Other
2782171,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,33.6414477,-117.6434157,,PRIVATE RESIDENCE,Other
2801654,1,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.8979367,-116.599224,,PRIVATE RESIDENCE,Other
2801654,2,1,1,ALL OTHER ACTIVITIES AT MY HOME,Personal,34.8979367,-116.599224,,PRIVATE RESIDENCE,Other
